Date,price,returns,SMA_S,SMA_L,position,strategy,creturns,cstrategy
2010-01-11,28.135000228881836,0.020104768213009522,28.385700187683106,25.39902503967285,1,0.020104768213009522,1.2727889984853387,1.0407762203656779
2010-01-12,28.440000534057617,0.010782262693066603,28.413600196838377,25.428475046157835,1,0.010782262693066603,1.2865867958837514,1.0520588598627043
2010-01-13,28.514999389648438,0.0026336194904860934,28.450800170898436,25.461250047683716,1,0.0026336194904860934,1.289979641716999,1.0548332343008975
2010-01-14,28.565000534057617,0.0017519676687257372,28.48490016937256,25.494200048446654,1,0.0017519676687257372,1.2922416252250126,1.05668288781676
2010-01-15,28.145000457763672,-0.014812475692183396,28.516600189208983,25.522775049209596,1,-0.014812475692183396,1.2732413951869415,1.0411461510688504
2010-01-19,28.209999084472656,0.002306757379438675,28.54590015411377,25.55047504425049,1,0.002306757379438675,1.2761818443185866,1.043550594803871
2010-01-20,27.75,-0.016440652367460794,28.55690013885498,25.57680004119873,1,-0.016440652367460794,1.255372113759953,1.0265342058003386
2010-01-21,27.184999465942383,-0.02057050923986479,28.55570011138916,25.600250034332277,1,-0.02057050923986479,1.2298122609774154,1.0056335796920286
2010-01-22,27.1200008392334,-0.002393836935200068,28.543300132751465,25.62430004119873,1,-0.002393836935200068,1.2268718118457704,1.0032291359570082
2010-01-25,27.174999237060547,0.002025910914845246,28.528700103759764,25.647700033187867,1,0.002025910914845246,1.2293598642758128,1.0052636489888562
2010-01-26,27.06999969482422,-0.003871312579593008,28.508800086975096,25.67057502746582,1,-0.003871312579593008,1.2246098283377571,1.0013794824411457
2010-01-27,27.2549991607666,0.006810867371706949,28.49450008392334,25.69502502441406,1,0.006810867371706949,1.2329789516027863,1.0082230240571692
2010-01-28,27.09000015258789,-0.006072297994706071,28.47170009613037,25.71995002746582,1,-0.006072297994706071,1.2255146217409625,1.0021193438474907
2010-01-29,27.125,0.0012911501309918795,28.446800079345703,25.743000030517578,1,0.0012911501309918795,1.2270979670536477,1.0034140660300608
